Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,-9999
48,Jordi Alba,es ESP,DF,Barcelona,es La Liga,33-288,1989,11,8,759,8.4,0,1,0,0,0,4,1,0.00,0.12,0.12,0.00,0.12,0.2,0.2,3.5,3.7,0.02,0.42,0.44,0.02,0.44,4601e194
49,Luis Alberto,es ESP,MF,Lazio,it Serie A,30-097,1992,13,5,545,6.1,3,1,3,0,0,1,0,0.50,0.17,0.66,0.50,0.66,0.7,0.7,1.1,1.8,0.11,0.19,0.30,0.11,0.30,5294a83f
50,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37-121,1985,14,14,1249,13.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,4bd414c1
51,Marc Albrighton,eng ENG,MF,Leicester City,eng Premier League,33-046,1989,3,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.13,0.00,0.13,0.13,0.13,b827d5b3
52,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,31-267,1991,11,11,890,9.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.9,1.3,0.04,0.09,0.13,0.04,0.13,77e84962
53,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,31-247,1991,11,6,581,6.5,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.7,1.2,0.07,0.11,0.19,0.07,0.19,036bba5f
54,Omar Alderete,py PAR,DF,Getafe,es La Liga,26-008,1996,3,2,225,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.01,0.03,0.02,0.03,bb08bce9
55,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,27-327,1995,12,8,657,7.3,0,1,0,0,0,5,0,0.00,0.14,0.14,0.00,0.14,0.4,0.4,0.8,1.2,0.05,0.11,0.16,0.05,0.16,3d7e48ce
56,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,20-066,2002,3,2,225,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,9e17ccff
57,Carles Aleñá,es ESP,MF,Getafe,es La Liga,24-363,1998,14,14,1083,12.0,2,2,2,0,0,6,0,0.17,0.17,0.33,0.17,0.33,0.9,0.9,0.6,1.5,0.07,0.05,0.12,0.07,0.12,6c811eb7
