Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,-9999
120,Gerónimo Rulli,ar ARG,GK,Villarreal,es La Liga,30-228,1992,14,14,1260,14.0,10,0.71,56,46,82.1,6,3,5,7,50.0,0,0,0,0,,625c144a
121,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,30-152,1992,11,11,990,11.0,9,0.82,43,34,81.4,7,2,2,4,36.4,1,1,0,0,0.0,a70b8345
122,José Sá,pt POR,GK,Wolves,eng Premier League,29-351,1993,17,17,1530,17.0,26,1.53,74,47,64.9,3,4,10,4,23.5,2,0,2,0,100.0,903b6e8b
123,Brice Samba,cg CGO,GK,Lens,fr Ligue 1,28-253,1994,17,17,1530,17.0,11,0.65,55,45,83.6,12,4,1,8,47.1,2,2,0,0,0.0,60d90c55
124,Robert Sánchez,es ESP,GK,Brighton,eng Premier League,25-046,1997,16,16,1440,16.0,24,1.50,59,37,66.1,7,3,6,4,25.0,5,4,1,0,20.0,6a713852
125,Kasper Schmeichel,dk DEN,GK,Nice,fr Ligue 1,36-059,1986,15,15,1350,15.0,17,1.13,58,41,72.4,5,5,5,3,20.0,1,1,0,0,0.0,53af52f3
126,Marvin Schwäbe,de GER,GK,Köln,de Bundesliga,27-253,1995,15,15,1350,15.0,29,1.93,61,34,55.7,4,5,6,1,6.7,3,2,1,0,33.3,87436846
127,Alexander Schwolow,de GER,GK,Schalke 04,de Bundesliga,30-215,1992,15,15,1350,15.0,32,2.13,85,53,65.9,2,3,10,2,13.3,3,3,0,0,0.0,0d55d942
128,Matz Sels,be BEL,GK,Strasbourg,fr Ligue 1,30-311,1992,17,17,1530,17.0,31,1.82,88,57,71.6,1,8,8,1,5.9,7,6,0,1,0.0,834b5c4c
129,Luigi Sepe,it ITA,GK,Salernitana,it Serie A,31-240,1991,15,15,1350,15.0,24,1.60,76,50,72.4,4,5,6,3,20.0,5,3,2,0,40.0,343f753a
