Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
119,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,24,1995,33.1,64,39,22,35,7,23,80,28.8,57,40,5,35,42,106,28,0,58afe001
120,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,31,1989,18.5,41,23,16,21,4,17,43,39.5,26,32,4,28,33,74,17,0,56413b1f
121,Luiz Araújo,br BRA,MF,Lille,fr Ligue 1,24,1996,16.6,38,25,12,18,8,8,28,28.6,20,23,1,22,11,49,3,0,fa18c72e
122,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,28,1991,27.0,24,16,14,9,1,7,15,46.7,8,23,18,5,43,67,89,2,27a013f7
123,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,21,1999,16.8,22,11,12,8,2,9,9,100.0,0,24,15,9,20,42,47,1,2bef2bca
124,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,33,1987,31.2,45,26,31,11,3,27,54,50.0,27,36,11,25,69,114,73,1,850c0a0d
125,Alphonse Areola,fr FRA,GK,Fulham,eng Premier League,27,1993,36.0,1,0,1,0,0,1,5,20.0,4,0,0,0,1,2,13,3,2f965a72
126,Santiago Arias,co COL,DF,Leverkusen,de Bundesliga,28,1992,1.0,2,1,0,1,1,1,1,100.0,0,0,0,0,1,3,4,0,fdd60087
127,Karim Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26,1994,3.3,2,2,0,1,1,0,5,0.0,5,1,0,1,0,2,3,0,08534272
128,Unai Arietaleanizbeaskoa,es ESP,FWMF,Eibar,es La Liga,21,1999,0.5,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,74d9a90b
129,Nicolò Armini,it ITA,DF,Lazio,it Serie A,19,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2f7407fa
130,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,28,1992,30.7,60,41,19,32,9,27,75,36.0,48,26,1,25,24,84,19,0,97333cf5
131,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,26,1994,28.7,47,32,20,26,1,18,49,36.7,31,24,3,21,49,96,57,0,86e119e0
132,Toluwalas Arokodare,ng NGA,FWMF,Köln,de Bundesliga,19,2000,1.2,1,1,0,0,1,0,0,,0,1,0,1,1,2,0,0,a42760bc
133,Sergio Arribas,es ESP,MFFW,Real Madrid,es La Liga,18,2001,1.5,3,1,2,1,0,1,3,33.3,2,2,0,2,4,7,2,0,1e465e70
134,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,25,1994,6.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,3,28d596a0
135,Tolgay Arslan,de GER,MF,Udinese,it Serie A,29,1990,20.2,52,32,24,24,4,25,54,46.3,29,22,2,20,22,74,15,1,963a328b
136,Kwadwo Asamoah,gh GHA,DFMF,Cagliari,it Serie A,31,1988,2.5,4,3,2,2,0,2,3,66.7,1,5,1,4,4,8,2,1,089550f5
137,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,23,1997,8.5,30,15,15,14,1,15,28,53.6,13,23,2,21,13,43,14,0,e26fcca3
138,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,31,1989,36.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,13,2,9f0ea33f
139,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,24,1996,20.8,12,6,7,4,1,3,24,12.5,21,15,0,15,11,23,10,0,45af8a54
140,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,19,2001,1.1,0,0,0,0,0,0,0,,0,2,0,2,3,3,3,0,a69cc629
141,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,32,1987,31.8,11,3,2,7,2,2,23,8.7,21,25,2,23,16,27,21,0,7dcf86f6
142,Roger Assalé,ci CIV,FWMF,Dijon,fr Ligue 1,26,1993,9.2,10,8,3,5,2,4,12,33.3,8,7,3,4,2,12,2,0,5d5219b1
143,Youcef Atal,dz ALG,DFFW,Nice,fr Ligue 1,24,1996,10.6,25,12,11,14,0,13,26,50.0,13,10,2,8,26,51,12,0,6a827d8e
