Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,-9999
194,Ashley Barnes,eng ENG,FW,Burnley,eng Premier League,28,1989,26.5,51,1.92,30,0,0,9,11,1,6,0.23,2,0,0,3,1,0,2691c772
195,Harvey Barnes,eng ENG,MFFW,Leicester City,eng Premier League,20,1997,11.2,50,4.48,36,0,9,5,0,0,4,0.36,2,0,1,1,0,0,3ea50f67
196,Antonio Barragán,es ESP,DFFW,Betis,es La Liga,31,1987,10.4,12,1.16,12,0,0,0,0,0,1,0.10,1,0,0,0,0,0,487d9b09
197,Antonio Barreca,it ITA,DF,Newcastle Utd,eng Premier League,23,1995,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,6a189491
198,Antonio Barreca,it ITA,DF,Monaco,fr Ligue 1,23,1995,6.6,10,1.52,7,3,0,0,0,0,1,0.15,1,0,0,0,0,0,6a189491
199,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,18,2000,1.0,2,2.00,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,00242b75
200,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,es La Liga,16,2001,4.4,15,3.39,11,0,3,0,0,1,2,0.45,2,0,0,0,0,0,200e89e1
201,Édgar Barreto,py PAR,MF,Sampdoria,it Serie A,34,1984,8.7,18,2.06,16,2,0,0,0,0,3,0.34,3,0,0,0,0,0,43a1bea5
202,Musa Barrow,gm GAM,FW,Atalanta,it Serie A,19,1998,6.7,33,4.94,25,2,1,4,1,0,3,0.45,3,0,0,0,0,0,e5bf73f3
203,Fin Bartels,de GER,MFFW,Werder Bremen,de Bundesliga,31,1987,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,acc7b7ec
204,Marc Bartra,es ESP,DF,Betis,es La Liga,27,1991,32.5,22,0.68,20,0,0,2,0,0,0,0.00,0,0,0,0,0,0,b742cc0d
205,Andrea Barzagli,it ITA,DF,Juventus,it Serie A,37,1981,2.9,1,0.35,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,7c0000fd
206,Daniele Baselli,it ITA,MF,Torino,it Serie A,26,1992,26.4,83,3.14,52,20,7,2,0,2,6,0.23,6,0,0,0,0,0,ea06dd97
207,Toma Bašić,hr CRO,MF,Bordeaux,fr Ligue 1,21,1996,14.8,35,2.36,21,10,0,1,3,0,2,0.14,1,1,0,0,0,0,80556f08
208,Thomas Basila,fr FRA,DF,Nantes,fr Ligue 1,19,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,65391fa7
209,Borja Bastón,es ESP,FW,Alavés,es La Liga,25,1992,16.0,20,1.25,14,0,2,3,1,0,1,0.06,1,0,0,0,0,0,8c44e37b
210,Alessandro Bastoni,it ITA,DF,Parma,it Serie A,19,1999,18.8,4,0.21,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,75b86fb3
211,Bastos,ao ANG,DF,Lazio,it Serie A,27,1991,12.7,8,0.63,7,0,1,0,0,0,0,0.00,0,0,0,0,0,0,c01c66d9
212,Michy Batshuayi,be BEL,FW,Crystal Palace,eng Premier League,24,1993,8.3,21,2.52,10,0,4,6,1,0,3,0.36,1,0,0,2,0,0,2973d8ff
213,Michy Batshuayi,be BEL,FW,Valencia,es La Liga,24,1993,5.9,15,2.56,11,0,0,4,0,0,0,0.00,0,0,0,0,0,0,2973d8ff
214,Robert Bauer,de GER,DF,Nürnberg,de Bundesliga,23,1995,19.1,30,1.57,17,10,0,0,2,1,0,0.00,0,0,0,0,0,0,9b88e120
215,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,28,1990,33.0,6,0.18,4,2,0,0,0,0,2,0.06,2,0,0,0,0,0,47064058
216,Timo Baumgartl,de GER,DF,Stuttgart,de Bundesliga,22,1996,18.0,9,0.50,7,2,0,0,0,0,0,0.00,0,0,0,0,0,0,bd7d2e6d
217,Julian Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,30,1988,17.3,35,2.02,33,1,0,1,0,0,3,0.17,3,0,0,0,0,0,69374ff5
218,Christoph Baumgartner,at AUT,MF,Hoffenheim,de Bundesliga,18,1999,0.9,6,6.35,1,0,3,0,2,0,3,3.18,1,0,1,0,1,0,437f2b00
219,Jon Bautista,es ESP,FW,Real Sociedad,es La Liga,23,1995,6.6,8,1.21,4,0,2,1,1,0,2,0.30,1,0,0,0,1,0,debc6b55
220,Paul Baysse,fr FRA,DF,Bordeaux,fr Ligue 1,30,1988,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2515040a
221,Paul Baysse,fr FRA,DF,Caen,fr Ligue 1,30,1988,19.9,14,0.70,12,1,0,1,0,0,1,0.05,1,0,0,0,0,0,2515040a
